id,user_id,day,emotion,another_emotions,people,note,created_at,updated_at
a2eb3796-d3af-48a0-94a8-51a8a4d48591,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-01,neutral,[],[],,2025-09-27T03:29:54.687954+00:00,2025-09-27T03:29:54.687954+00:00
8e3dd696-96c3-4aaa-be8a-d74c0086a09d,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-02,very_happy,[],[],,2025-09-26T10:06:23.897752+00:00,2025-09-26T10:06:23.897752+00:00
43175527-30e4-400b-a165-6241b39d6797,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-03,very_happy,[],[],,2025-09-26T10:06:26.470039+00:00,2025-09-26T10:06:26.470039+00:00
fac311f7-a914-4633-a56e-ab64f929b9fc,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-04,happy,[],[],,2025-09-26T10:06:28.902653+00:00,2025-09-26T10:06:28.902653+00:00
ed827464-617a-43b4-8cbc-ff69bb61f256,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-05,very_sad,[],[],,2025-09-26T10:06:31.690341+00:00,2025-09-26T10:06:31.690341+00:00
c387f62f-5a13-4b81-8bbd-14acc7b2c242,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-06,sad,[],[],,2025-09-26T10:06:34.563796+00:00,2025-09-26T10:06:34.563796+00:00
85f8f5fe-e181-462d-8171-5cfd4bf88f9f,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-07,neutral,[],[],,2025-09-26T10:06:36.900455+00:00,2025-09-26T10:06:36.900455+00:00
b306fbc1-68ab-40a9-a225-ed86a1e904bb,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-08,happy,[],[],,2025-09-26T10:06:40.419574+00:00,2025-09-26T10:06:40.419574+00:00
e47c2b37-c8c7-431a-9126-f14281c2d717,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-09,very_happy,[],[],,2025-09-26T10:06:45.069254+00:00,2025-09-26T10:06:45.069254+00:00
f38d166f-f393-446f-aa4b-e37db7943042,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-10,happy,[],[],,2025-09-26T10:06:47.928872+00:00,2025-09-26T10:06:47.928872+00:00
6ddc259d-79e2-4c8d-8696-8096bbe9868f,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-11,sad,[],[],,2025-09-26T10:06:50.764052+00:00,2025-09-26T10:06:50.764052+00:00
0422b9aa-66e0-4260-a95c-5fd92ee54f89,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-12,neutral,[],[],,2025-09-26T10:06:54.989381+00:00,2025-09-26T10:06:54.989381+00:00
33c1a654-e541-4580-b486-6f2fa6c1f9ea,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-13,neutral,[],[],,2025-09-26T10:06:52.973385+00:00,2025-09-26T10:06:52.973385+00:00
4ffa5cc7-dc3e-493f-b214-392010c171fa,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-14,very_sad,[],[],,2025-09-26T10:06:57.840964+00:00,2025-09-26T10:06:57.840964+00:00
14a443de-2ff8-4ae4-b284-6ed38d358039,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-15,happy,[],[],,2025-09-26T10:07:00.677364+00:00,2025-09-26T10:07:00.677364+00:00
7155c735-5670-45a6-b45d-b086a28ed741,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-16,very_happy,[],[],,2025-09-26T10:07:03.099996+00:00,2025-09-26T10:07:03.099996+00:00
924e3adb-0008-4d53-a2c8-de3cc1670df6,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-17,neutral,[],[],,2025-09-25T10:41:39.825708+00:00,2025-09-25T10:41:39.825708+00:00
920e79f0-e738-4ed8-bcc6-68872cf4f69b,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-18,sad,[],[],,2025-09-25T10:32:19.965478+00:00,2025-09-25T10:32:19.965478+00:00
de54d0dc-7fb1-4666-9c64-a5ccae0ce552,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-19,very_sad,[],[],,2025-09-25T10:32:06.351294+00:00,2025-09-25T10:32:06.351294+00:00
b14a88dc-3fd8-4915-b78b-6b1cbbb8cf51,172072ae-906b-4aec-a9a2-e3ae6ad0d215,2025-09-20,very_happy,[],[],,2025-09-20T13:08:27.157542+00:00,2025-09-20T13:08:27.157542+00:00
888f0f9e-fc9d-4fde-ad15-50e2cc4af7fb,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-20,very_happy,['proud'],[],,2025-09-20T12:42:55.035526+00:00,2025-09-20T13:04:09.668788+00:00
7eb12a9c-2046-4ec9-8f6e-0f053ba7b32e,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-21,very_sad,[],[],,2025-09-26T09:12:51.60123+00:00,2025-09-26T09:12:51.60123+00:00
30593b71-4f52-4024-9ef4-8ff410bddeac,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-22,very_happy,[],[],,2025-09-26T10:05:46.855006+00:00,2025-09-26T10:05:46.855006+00:00
dbf2cf00-9247-4a99-92e4-b474237ceeca,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-23,very_happy,[],[],,2025-09-26T10:05:50.221749+00:00,2025-09-26T10:05:50.221749+00:00
1059826b-db21-4417-b331-4ea7f3afbd67,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-24,happy,[],[],,2025-09-26T10:05:53.409945+00:00,2025-09-26T10:05:53.409945+00:00
a79d59e6-f131-4c2d-b239-3a9fe2842723,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-25,neutral,[],[],,2025-09-27T03:42:39.807754+00:00,2025-09-27T03:42:39.807754+00:00
13e616e7-f897-4ac4-b1a2-8fdfa4ca1d57,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-26,sad,[],[],,2025-09-26T10:06:01.720137+00:00,2025-09-26T10:06:01.720137+00:00
465d3ecb-6a88-44cf-8b08-1f52192bfc7f,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-27,very_happy,[],[],,2025-09-26T10:07:06.225559+00:00,2025-09-26T10:07:06.225559+00:00
4eb30302-f475-41f1-9372-1c282d5fcca6,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-28,very_happy,[],[],,2025-11-06T02:35:59.874798+00:00,2025-11-06T02:35:59.874798+00:00
728722fe-50e1-4cb5-9d37-b0cfbe9ff49c,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-29,neutral,[],[],,2025-11-05T07:49:43.797977+00:00,2025-11-05T07:49:43.797977+00:00
b60a7e98-e854-4f61-bb45-8a218ffb9d7e,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-09-30,very_happy,[],[],,2025-10-03T03:34:10.027028+00:00,2025-10-03T03:34:10.027028+00:00
33beae88-9419-4a44-8605-633c49be8ac8,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-01,very_happy,[],[],,2025-10-01T08:45:44.794688+00:00,2025-10-01T08:45:44.794688+00:00
36c8652f-2b67-496f-b487-53b8b195a1c4,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-02,happy,[],[],,2025-10-02T03:47:16.704134+00:00,2025-10-02T03:47:16.704134+00:00
e65cd529-9f3d-4945-9c28-ef410865f46f,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-03,very_happy,['excited'],['stranger'],Hehe,2025-10-03T02:40:13.654279+00:00,2025-10-03T02:40:13.654279+00:00
2428f400-4e38-4596-b7e7-793959cf01cc,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-04,happy,['proud'],['family'],,2025-10-04T12:12:06.215068+00:00,2025-10-04T13:02:08.553122+00:00
c5705d81-e3fd-4434-9a14-425a05c10ee5,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-05,happy,[],[],,2025-10-07T07:32:58.538456+00:00,2025-10-07T07:32:58.538456+00:00
0af72ee8-1ef0-4e33-8e75-2afa17121ce3,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-06,neutral,[],[],,2025-10-07T07:32:29.83088+00:00,2025-10-07T07:32:29.83088+00:00
45f09a3d-7438-4e44-a561-aabdd35184c5,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-07,very_happy,[],[],,2025-10-07T07:32:43.238753+00:00,2025-10-07T07:32:43.238753+00:00
054060d2-ece8-466d-a42e-7b363feec248,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-08,very_happy,[],[],,2025-10-23T14:59:10.800189+00:00,2025-10-23T14:59:10.800189+00:00
9313911c-1096-4ae7-9e07-661f75bd28fe,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-09,very_happy,[],[],,2025-10-23T14:59:15.933883+00:00,2025-10-23T14:59:15.933883+00:00
9e8ffac2-bf02-4a96-9fba-64ec5d40249a,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-10,neutral,[],[],,2025-10-11T02:57:49.173316+00:00,2025-10-11T02:57:49.173316+00:00
898740b3-7b8d-4ab2-adbc-09bf603bef8f,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-11,happy,[],[],,2025-10-11T02:57:59.229938+00:00,2025-10-11T02:57:59.229938+00:00
e5bfa400-fad6-4df4-8d8a-2b9ca1c3184c,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-12,happy,[],[],,2025-10-23T14:59:49.344561+00:00,2025-10-23T14:59:49.344561+00:00
752fc4bb-503f-466d-9a17-f8d8bbdd979c,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-13,sad,[],[],,2025-10-23T14:59:54.301797+00:00,2025-10-23T14:59:54.301797+00:00
4e9f75b2-a49e-4491-8cec-66415bbeed0a,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-14,neutral,[],[],,2025-10-23T14:59:58.430802+00:00,2025-10-23T14:59:58.430802+00:00
27dd76c6-050a-401f-acad-bff2ffe17ace,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-15,happy,[],[],,2025-10-23T15:00:05.845941+00:00,2025-10-23T15:00:05.845941+00:00
e66c9730-8ae9-4a68-8348-2653872beec0,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-16,very_sad,[],[],,2025-10-23T15:00:10.413164+00:00,2025-10-23T15:00:10.413164+00:00
952f2988-244d-406f-9101-c95c47b48ac2,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-17,very_happy,[],[],,2025-10-23T15:00:14.739559+00:00,2025-10-23T15:00:14.739559+00:00
0a514d43-f3e0-45f3-a0eb-0d03dba2d3cc,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-18,happy,['relaxed'],['friends'],New in csv file,2025-10-18T06:00:32.756041+00:00,2025-10-18T06:00:32.756041+00:00
cc15e380-f4f9-4164-b704-c48658fa95d8,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-19,happy,[],[],,2025-10-23T15:00:23.336029+00:00,2025-10-23T15:00:23.336029+00:00
837c3014-24b3-451d-943c-e29c550ebe21,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-20,sad,[],[],,2025-10-23T15:00:31.481438+00:00,2025-10-23T15:00:31.481438+00:00
1c572565-1c8d-4534-b630-4841407d62a0,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-21,very_happy,[],[],,2025-10-23T15:00:35.485578+00:00,2025-10-23T15:00:35.485578+00:00
1d06378c-740b-4d58-bed0-d9e4097c7e73,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-22,happy,[],[],,2025-10-23T15:00:39.147277+00:00,2025-10-23T15:00:39.147277+00:00
bf8d3476-2c24-4d35-a919-0bb67d3ac9a9,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-23,very_happy,[],[],,2025-10-23T15:00:44.22031+00:00,2025-10-23T15:00:44.22031+00:00
b40ef070-78ea-48f1-829d-6ddb6a49516e,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-24,very_happy,[],[],,2025-10-24T15:45:29.382077+00:00,2025-10-24T15:45:29.382077+00:00
76c5f11e-a28b-4b68-b1ae-90421d1d14af,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-25,happy,['excited'],['family'],,2025-10-30T13:22:20.510302+00:00,2025-10-30T13:22:20.510302+00:00
aeba78e0-0660-468d-beb5-be8923ea1eb8,2c4f683a-521d-48cc-b1f5-284c28982b7e,2025-10-26,very_happy,[],[],l,2025-10-30T13:24:03.607068+00:00,2025-10-30T13:24:03.607068+00:00
